truth,scenario_id,axisA,axisB,rho_meas,mis_spec,bias,rmse,cover,ci_excl0,sign_error,ess_median,tip_time_median,runtime_median_sec
non_null,S01,flat,none,0.4,0,0.101985301404452,0.148741251868986,0.83,0.22,0.12,1662.8924107825,0,13.5115
null,S01,flat,none,0.4,0,0.105605290480325,0.139496855708776,0.855,0.145,,1679.84947273354,0,13.4275
non_null,S01,flat,none,0.4,1,0.101850848607293,0.147503380390516,0.845,0.235,0.11,1674.39973203373,0,13.1505
null,S01,flat,none,0.4,1,0.106402186295053,0.139440371357284,0.84,0.16,,1697.50931113007,0,13.0775
non_null,S02,flat,none,0.7,0,0.0979782115683523,0.153331176035389,0.825,0.22,0.145,1623.75817431082,0,13.577
null,S02,flat,none,0.7,0,0.112594517544009,0.154682074329701,0.79,0.21,,1624.98071307368,0,13.2425000000001
non_null,S02,flat,none,0.7,1,0.0985722982673583,0.153724417568119,0.825,0.21,0.145,1637.75154395297,0,13.562
null,S02,flat,none,0.7,1,0.114545206000404,0.155320353666683,0.795,0.205,,1653.05756738748,0,13.3264999999999
non_null,S03,flat,none,1,0,0.106972151331664,0.153535912710646,0.83,0.225,0.145,1650.63197438635,0,13.55
null,S03,flat,none,1,0,0.115199844550384,0.150123845036225,0.815,0.185,,1653.4652692293,0,13.1834999999999
non_null,S03,flat,none,1,1,0.106521137140877,0.152110147874607,0.84,0.215,0.145,1647.15128542176,0,13.4639999999999
null,S03,flat,none,1,1,0.115260490968416,0.149621319210968,0.815,0.185,,1661.50350695069,0,13.3009999999999
non_null,S04,flat,threshold_jump,0.4,0,0.0875033066328035,0.142652260772541,0.82,0.26,0.16,1860.63067433364,0,13.0829999999999
null,S04,flat,threshold_jump,0.4,0,0.0969580103364641,0.140800762222893,0.84,0.16,,1877.9482721552,0,12.9679999999998
non_null,S04,flat,threshold_jump,0.4,1,0.0849926198428119,0.141272664166273,0.83,0.275,0.155,1847.18733848603,0,12.663
null,S04,flat,threshold_jump,0.4,1,0.0933674921981848,0.138592815746105,0.845,0.155,,1866.24197613087,0,12.5604999999998
non_null,S05,flat,threshold_jump,0.7,0,0.100741206186265,0.144809855843712,0.845,0.23,0.115,1882.14202005678,0,12.7799999999997
null,S05,flat,threshold_jump,0.7,0,0.097281868112215,0.140750535817115,0.82,0.18,,1871.54870755771,0,12.828
non_null,S05,flat,threshold_jump,0.7,1,0.0973020124726333,0.141926740788667,0.845,0.235,0.12,1865.7895499906,0,12.8460000000005
null,S05,flat,threshold_jump,0.7,1,0.0933770494919002,0.139307870479833,0.815,0.185,,1853.25085943673,0,12.6390000000001
non_null,S06,flat,threshold_jump,1,0,0.0961557110370705,0.140092867941235,0.875,0.22,0.105,1866.98102953116,0,12.7840000000001
null,S06,flat,threshold_jump,1,0,0.0827230225597824,0.13068679517114,0.89,0.11,,1858.06321200191,0,12.6109999999999
non_null,S06,flat,threshold_jump,1,1,0.0920398245546329,0.137565527348062,0.89,0.215,0.095,1851.26834042535,0,12.681
null,S06,flat,threshold_jump,1,1,0.0802804700796533,0.129320145172041,0.905,0.095,,1845.22605918424,0,12.6379999999995
non_null,S07,increasing,none,0.4,0,0.0897921775700416,0.142963056191913,0.865,0.27,0.085,1763.86046979065,0,13.3714999999997
null,S07,increasing,none,0.4,0,0.108278462966109,0.14881003203728,0.775,0.225,,1763.09458629047,0,13.299
non_null,S07,increasing,none,0.4,1,0.0889411936155804,0.141624186227227,0.865,0.27,0.085,1761.44451290354,0,12.9515000000006
null,S07,increasing,none,0.4,1,0.107225541032418,0.14795477287476,0.78,0.22,,1763.49254969626,0,13.0684999999999
non_null,S08,increasing,none,0.7,0,0.0968539683451076,0.140237434026378,0.86,0.19,0.11,1754.50628430013,0,13.2624999999998
null,S08,increasing,none,0.7,0,0.121175258932558,0.160462900329205,0.78,0.22,,1752.95151339712,0,13.1925000000001
non_null,S08,increasing,none,0.7,1,0.0972800354415205,0.140658410353116,0.855,0.19,0.1,1753.67938366383,0,13.2630000000004
null,S08,increasing,none,0.7,1,0.120951578921348,0.159883336487843,0.79,0.21,,1751.64544597409,0,13.3350000000005
non_null,S09,increasing,none,1,0,0.0981494721126934,0.141711216078329,0.835,0.235,0.12,1751.85105311993,0,13.4670000000001
null,S09,increasing,none,1,0,0.115318227209182,0.15685808897472,0.785,0.215,,1764.89644869063,0,13.201
non_null,S09,increasing,none,1,1,0.0986731541104282,0.141525454752956,0.835,0.24,0.12,1749.64751986521,0,13.1419999999998
null,S09,increasing,none,1,1,0.11423285805143,0.156666368094751,0.785,0.215,,1757.44653453875,0,13.0925000000002
non_null,S10,increasing,threshold_jump,0.4,0,0.103364674093292,0.147863314600907,0.83,0.195,0.13,1904.32234689831,0,12.9895000000006
null,S10,increasing,threshold_jump,0.4,0,0.113733288546056,0.156960990535951,0.815,0.185,,1904.511288734,0,12.8580000000002
non_null,S10,increasing,threshold_jump,0.4,1,0.09891193486381,0.144148307634882,0.845,0.2,0.105,1893.56564032218,0,12.5050000000001
null,S10,increasing,threshold_jump,0.4,1,0.109326822394832,0.153639581206888,0.835,0.165,,1888.07479399977,0,12.5630000000001
non_null,S11,increasing,threshold_jump,0.7,0,0.0887062229388959,0.133438547320844,0.875,0.18,0.095,1908.10161936262,0,12.7794999999996
null,S11,increasing,threshold_jump,0.7,0,0.103083484947442,0.144806488547104,0.875,0.125,,1911.64291873065,0,12.576
non_null,S11,increasing,threshold_jump,0.7,1,0.0839459025583886,0.129396160995495,0.89,0.195,0.095,1896.9378206312,0,12.4895000000006
null,S11,increasing,threshold_jump,0.7,1,0.0999852063956791,0.142498857377002,0.88,0.12,,1906.42874933926,0,12.3839999999991
non_null,S12,increasing,threshold_jump,1,0,0.0987800545725664,0.151443752832072,0.825,0.24,0.145,1906.61928427285,0,12.7685000000001
null,S12,increasing,threshold_jump,1,0,0.107343658680871,0.145532455818059,0.84,0.16,,1899.4294633689,0,12.6329999999998
non_null,S12,increasing,threshold_jump,1,1,0.0957714904066676,0.148844549306891,0.845,0.235,0.135,1899.40872514566,0,12.7375000000002
null,S12,increasing,threshold_jump,1,1,0.105079008446199,0.142815173588236,0.855,0.145,,1889.47978231124,0,12.6295000000009
non_null,S13,late_surge,none,0.4,0,0.100277744800169,0.143643326375716,0.84,0.175,0.135,1597.8134285016,0,13.4850000000006
null,S13,late_surge,none,0.4,0,0.104922161971859,0.1434299946935,0.845,0.155,,1604.99600514743,0,13.4004999999997
non_null,S13,late_surge,none,0.4,1,0.100212199167846,0.143129974609281,0.84,0.185,0.145,1622.43720013679,0,13.1179999999995
null,S13,late_surge,none,0.4,1,0.104340250194335,0.142802475398743,0.825,0.175,,1601.78139586777,0,12.9185000000007
non_null,S14,late_surge,none,0.7,0,0.102340043249641,0.1463540650688,0.86,0.18,0.105,1639.84829143888,0,13.2545
null,S14,late_surge,none,0.7,0,0.108340128665813,0.147637140404596,0.815,0.185,,1607.23019241185,0,13.1774999999998
non_null,S14,late_surge,none,0.7,1,0.102746835320814,0.146756458678773,0.85,0.175,0.115,1633.12730252179,0,13.2204999999994
null,S14,late_surge,none,0.7,1,0.108718452319364,0.14715963950925,0.82,0.18,,1619.78522235396,0,12.9110000000001
non_null,S15,late_surge,none,1,0,0.0992698803527268,0.145036028438867,0.84,0.185,0.125,1601.64905731232,0,13.3905000000004
null,S15,late_surge,none,1,0,0.0958211772985016,0.139043705089026,0.845,0.155,,1619.39553034405,0,13.3285000000005
non_null,S15,late_surge,none,1,1,0.0999968400026103,0.144403003749036,0.845,0.18,0.13,1602.46835519443,0,13.0894999999991
null,S15,late_surge,none,1,1,0.0956064192755771,0.13837627822654,0.845,0.155,,1627.27106872424,0,13.1429999999991
non_null,S16,late_surge,threshold_jump,0.4,0,0.0978521347804805,0.144426279833856,0.815,0.19,0.155,1848.52903105396,0,12.7719999999999
null,S16,late_surge,threshold_jump,0.4,0,0.0882326055626563,0.138707710059551,0.835,0.165,,1857.47943546629,0,12.8294999999998
non_null,S16,late_surge,threshold_jump,0.4,1,0.0945277218020177,0.14212181005681,0.84,0.195,0.145,1835.16966305467,0,12.5725000000002
null,S16,late_surge,threshold_jump,0.4,1,0.0839602164833776,0.13732543860528,0.84,0.16,,1834.50120886577,0,12.4714999999997
non_null,S17,late_surge,threshold_jump,0.7,0,0.0904406438668858,0.142103576990716,0.87,0.23,0.105,1850.31874246663,0,12.8104999999996
null,S17,late_surge,threshold_jump,0.7,0,0.0954895885865899,0.143515685248477,0.85,0.15,,1862.11264731715,0,12.7960000000012
non_null,S17,late_surge,threshold_jump,0.7,1,0.0862478821705672,0.139802565743766,0.87,0.225,0.1,1825.24857118383,0,12.6414999999997
null,S17,late_surge,threshold_jump,0.7,1,0.0917454029854245,0.141200056669475,0.865,0.135,,1836.0050101117,0,12.4949999999999
non_null,S18,late_surge,threshold_jump,1,0,0.0842470323740356,0.130258630579696,0.915,0.205,0.075,1839.66817696928,0,12.9899999999998
null,S18,late_surge,threshold_jump,1,0,0.105977460675652,0.151620388817676,0.8,0.2,,1864.56403334949,0,12.8530000000001
non_null,S18,late_surge,threshold_jump,1,1,0.0798421532557048,0.128905574532117,0.925,0.205,0.07,1829.26693653168,0,12.7260000000006
null,S18,late_surge,threshold_jump,1,1,0.101988941805803,0.148515502125135,0.805,0.195,,1845.59421791856,0,12.5584999999992
