scenario_id,truth,t_cut,beta_true_pp,N_truth,B_truth,truth_method,risk1_true,risk0_true,logrr_true,rd_true,logrr_true_sd,rd_true_sd,n_ok
S01,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358276,0.424383,-0.169333024287173,-0.066107,0.00227866280475232,0.00088225988234759,5
S01,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S02,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358823,0.425289,-0.169938597762343,-0.066466,0.00263116159018088,0.00108561273021275,5
S02,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S03,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358544,0.424337,-0.16848110911358,-0.065793,0.00316309960364059,0.00113672006228444,5
S03,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S04,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358454,0.425272,-0.170925002798096,-0.066818,0.00399377727757401,0.00164605817029657,5
S04,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S05,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358194,0.425113,-0.171276244020297,-0.066919,0.00251439475196962,0.00112179766446538,5
S05,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S06,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358121,0.423591,-0.16789764034997,-0.06547,0.0037198721040602,0.00145615503982232,5
S06,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S07,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358208,0.42439,-0.169541978562023,-0.066182,0.00468531746457868,0.0017862726555596,5
S07,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S08,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.35841,0.424901,-0.170178179983195,-0.066491,0.00164410243238492,0.000675420239554612,5
S08,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S09,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358932,0.425109,-0.169217030203304,-0.066177,0.00340691091113576,0.00124089987509063,5
S09,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S10,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358276,0.424383,-0.169333024287173,-0.066107,0.00227866280475232,0.00088225988234759,5
S10,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S11,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358823,0.425289,-0.169938597762343,-0.066466,0.00263116159018088,0.00108561273021275,5
S11,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S12,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358544,0.424337,-0.16848110911358,-0.065793,0.00316309960364059,0.00113672006228444,5
S12,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S13,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358454,0.425272,-0.170925002798096,-0.066818,0.00399377727757401,0.00164605817029657,5
S13,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S14,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358194,0.425113,-0.171276244020297,-0.066919,0.00251439475196962,0.00112179766446538,5
S14,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S15,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358121,0.423591,-0.16789764034997,-0.06547,0.0037198721040602,0.00145615503982232,5
S15,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S16,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358208,0.42439,-0.169541978562023,-0.066182,0.00468531746457868,0.0017862726555596,5
S16,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S17,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.35841,0.424901,-0.170178179983195,-0.066491,0.00164410243238492,0.000675420239554612,5
S17,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
S18,non_null,5,-0.22314355131421,200000,5,intervention_sustained_adherence,0.358932,0.425109,-0.169217030203304,-0.066177,0.00340691091113576,0.00124089987509063,5
S18,null,5,-0.22314355131421,200000,5,intervention_exact_null,,,0,0,0,0,5
